agency,id,lat,lon,name
GIR,37977,44.926517,-0.075671,PUISSEGUIN - Gare
GIR,37975,44.923340,-0.073025,PUISSEGUIN - Pl. de l'Eglise
GIR,37998,44.914250,-0.230938,LIBOURNE - Eglise Epinette
GIR,38007,44.910034,-0.210774,ST EMILION - Taillas
GIR,38009,44.909145,-0.202099,ST EMILION - Truquet
GIR,38006,44.909702,-0.183660,ST EMILION - La Croix Figeac
GIR,37991,44.901900,-0.167563,ST EMILION - Pourret
GIR,38008,44.896410,-0.150520,ST EMILION - Villemaurine
GIR,37988,44.895880,-0.139827,ST CHRISTOPHE DES B. - Haut Sarpe
GIR,38010,44.895775,-0.124448,ST CHRISTOPHE DES B. - Bourg
GIR,37994,44.891552,-0.110900,ST CHRISTOPHE DES B. - Rocheyron
GIR,37992,44.888397,-0.096369,ST ETIENNE DE L. - Peyblanquet
GIR,37993,44.886707,-0.084889,ST ETIENNE DE L. - Tour Pressac
GIR,38002,44.897800,-0.062739,ST GENES DE C. - Bourg
GIR,37990,44.893430,-0.043774,GARDEGAN - Les Faures
GIR,37989,44.903010,-0.032772,GARDEGAN - Cave Coopérative
GIR,37997,44.914005,-0.030862,ST PHILIPPE D'A. - Bourg
GIR,38000,44.927025,-0.030385,ST CIBARD - Le Gros Buisson
GIR,38004,44.932426,-0.030737,ST CIBARD - Le Canton
GIR,38001,44.938065,-0.027960,ST CIBARD - Pimpine
GIR,38005,44.941190,-0.024316,ST CIBARD - Puy Fromage
GIR,38003,44.945827,-0.024921,ST CIBARD - Michel de Bos
GIR,37987,44.954240,-0.017085,TAYAC - Vergne
GIR,37999,44.953377,-0.010052,TAYAC - Bourg
GIR,37996,44.945408,-0.006480,FRANCS - Bourg
GIR,37995,44.939823,-0.023131,ST CIBARD - Mairie
GIR,38032,44.908880,-0.235563,LIBOURNE - Parc des Sports
GIR,38035,44.901134,-0.217304,LIBOURNE - Centre Commercial
GIR,38013,44.897890,-0.209663,LIBOURNE - Carré
GIR,38021,44.894066,-0.200639,ST EMILION - Cantenac
GIR,38018,44.879673,-0.167939,ST SULPICE DE F. - Les Bigaroux
GIR,38023,44.868153,-0.144701,ST EMILION - Ferrandat
GIR,38028,44.860344,-0.128905,ST HIPPOLYTE - Petit Bouquey
GIR,38024,44.855580,-0.113054,ST PEY D'A. - Bourg
GIR,38030,44.855316,-0.099920,ST PEY D'A. - Laglaye
GIR,38026,44.855026,-0.085960,ST MAGNE DE C. - Gory
GIR,38025,44.854767,-0.072854,ST MAGNE DE C. - Les Demoiselles
GIR,38014,44.854534,-0.062518,ST MAGNE DE C. - Mézières
GIR,38012,44.854343,-0.050642,CASTILLON LA B. - Le Paradis
GIR,38011,44.853752,-0.042964,CASTILLON LA B. - Bourg
GIR,38029,44.834534,-0.038522,MOULIETS - Villemartin
GIR,38031,44.827496,-0.042508,MOULIETS - Grand Barry
GIR,38034,44.823513,-0.042778,MOULIETS - La Flamengue
GIR,38015,44.817898,-0.039301,PUJOLS - La Rivière
GIR,38016,44.807144,-0.031274,PUJOLS - Centre
GIR,38017,44.800568,-0.020402,PUJOLS - La Devise
GIR,38027,44.797320,-0.004227,DOULEZON - La Font St Martin
GIR,38033,44.798230,0.011210,STE RADEGONDE - Fonsalade
GIR,38037,44.797523,0.024034,STE RADEGONDE - L'Espérance
GIR,38019,44.805363,0.038555,STE RADEGONDE - Plaisance
GIR,38020,44.803986,0.071520,GENSAC - Bourg
GIR,38022,44.792522,0.074486,GENSAC - Savoye
GIR,38036,44.744778,0.075841,PELLEGRUE - La Grenouillette
GIR,38039,44.890507,-0.204978,ST EMILION - J. Marie
GIR,38048,44.887928,-0.201632,ST SULPICE DE F. - Pierrefitte
GIR,38051,44.874016,-0.190441,ST SULPICE DE F. - Cimetière
GIR,38045,44.869793,-0.187854,ST SULPICE DE F. - Croix Fourche
GIR,38049,44.853413,-0.180617,ST SULPICE DE F. - Bregnet
GIR,38057,44.828730,-0.185287,BRANNE - La Poste
GIR,38062,44.844510,-0.162020,VIGNONET - Eglise
GIR,38060,44.846687,-0.146632,VIGNONET - Mairie
GIR,38061,44.842094,-0.144967,VIGNONET - Micouleau
GIR,38054,44.832985,-0.141276,STE TERRE - Moustey
GIR,38055,44.827970,-0.117083,STE TERRE - La Chapelle
GIR,38053,44.823680,-0.126536,STE TERRE - Bernadas
GIR,38052,44.820150,-0.134931,STE TERRE - Lavagnac
GIR,38056,44.816850,-0.136566,STE TERRE - Pelisson
GIR,38047,44.813650,-0.139736,ST JEAN DE B. - Bourg
GIR,38046,44.807846,-0.136878,ST JEAN DE B. - Mondon
GIR,38059,44.790610,-0.118861,ST VINCENT PERT. - Couleau
GIR,38058,44.778835,-0.112043,ST VINCENT PERT. - Villesèque
GIR,38043,44.778316,-0.116702,RAUZAN - Cave Coopérative
GIR,38044,44.778896,-0.124583,RAUZAN - Mairie
GIR,38050,44.749360,-0.074954,BLASIMON - Bourg
GIR,38042,44.695280,-0.082569,SAUVETERRE - Porte de St Léger
GIR,38038,44.694190,-0.088829,SAUVETERRE - Cimetière
GIR,38040,44.692260,-0.083907,SAUVETERRE - Gendarmerie
GIR,38041,44.877064,-0.190418,ST SULPICE DE F. - Ecole Primaire
